pair_id,query_id,target_grade,question_en,candidate_A_lecture_hi,candidate_B_lecture_hi,human_vote_A_supports (0/1),human_vote_B_supports (0/1),human_preference (A/B/Tie),human_annotator_notes
pair_031,q_train_sqa_1185,grade9,"Which logical fallacy is used in the text?
I won't even bother to respond to Isaiah's comment on my op-ed. His profile picture is a duck wearing a top hat—he's clearly incapable of thoughtful debate.","एक प्रभावी तर्क किसी दावे के समर्थन में वैध तर्कशास्त्र और तर्क का उपयोग करता है। जब कोई तर्क या दावा असंबंधित जानकारी पेश करता है या वर्तमान मुद्दों को गलत तरीके से प्रस्तुत करता है, तो वह तार्किक भ्रम हो सकता है। तार्किक भ्रम लेखक की विश्वसनीयता को नुकसान पहुंचा सकते हैं और पाठकों को गलत निष्कर्ष निकालने पर प्रेरित कर सकते हैं。

एक तार्किक भ्रम असंबंधित जानकारी पेश कर सकता है:
भ्रम | विवरण
ad hominem | तर्क प्रस्तुत करने वाले व्यक्ति पर हमला, न कि स्वयं तर्क पर
appeal to nature | ऐसा तर्क जो यह मानता है कि प्राकृतिक विकल्प हमेशा सर्वोत्तम होता है
bandwagon fallacy | ऐसा तर्क जो यह मानता है कि लोकप्रिय विकल्प हमेशा सर्वोत्तम होता है
circular reasoning | ऐसा तर्क जो किसी दावे का समर्थन उसी दावे से करता है
guilt by association | किसी अन्य व्यक्ति या समूह के साथ एक अन्यायपूर्ण ऋणात्मक संबंध, जिसका उद्देश्य किसी व्यक्ति या वस्तु की बदनामी करना है

एक तार्किक भ्रम वर्तमान मुद्दों को गलत तरीके से प्रस्तुत कर सकता है:
भ्रम | विवरण
false causation | यह धारणा कि क्योंकि दो चीजें एक साथ हुईं, इ",...,,,,
pair_032,q_train_sqa_498,grade5,Select the one animal that has all of the arachnid traits listed above.,"अनुकूलन एक वंशानुगत लक्षण है जो किसी जीव के जीवित रहने या प्रजनन करने में सहायता करता है। अनुकूलन शरीर के अंगों और व्यवहार दोनों को शामिल कर सकते हैं। किसी जानवर के मुंह का आकार अनुकूलन का एक उदाहरण है। जानवरों के मुंह विभिन्न तरीकों से अनुकूलित हो सकते हैं। उदाहरण के लिए, तेज दांतों वाला बड़ा मुंह किसी जानवर को मांस फाड़ने में मदद कर सकता है। लंबा और पतला मुंह किसी जानवर को छिद्रों में रहने वाले कीटों को पकड़ने में सहायक हो सकता है। समान भोजन खाने वाले जानवरों के मुंह अक्सर समान होते हैं।",...,,,,
pair_033,q_train_sqa_262,grade5,"Which tense does the sentence use?
Dad will sew a patch on my pants.",...,...,,,,
pair_034,q_train_sqa_536,grade3,"Is vinegar a solid, a liquid, or a gas?",...,"ठोस, द्रव और गैस पदार्थ की अवस्थाएँ हैं। पदार्थ वह सब कुछ है जो स्थान घेरता है। पदार्थ विभिन्न अवस्थाओं या रूपों में पाया जा सकता है।
जब पदार्थ ठोस होता है, तो उसका अपना एक निश्चित आकार होता है।
कुछ ठोस आसानी से मोड़े या तोड़े जा सकते हैं। अन्य ठोस मोड़ने या तोड़ने में कठिन होते हैं।
एक कांच का कप ठोस होता है। एक मोज़ा भी ठोस होता है।
जब पदार्थ द्रव होता है, तो वह अपने पात्र के आकार को धारण कर लेता है।
किसी द्रव को कप से बोतल में डालने के बारे में सोचें। कप में द्रव का आकार बोतल में उसके आकार से अलग होता है। लेकिन द्रव अभी भी उतना ही स्थान घेरता है।
जूस एक द्रव है। शहद भी एक द्रव है।
जब पदार्थ गैस होता है, तो वह फैलकर किसी स्थान को भर देता है।
कई गैसें अदृश्य होती हैं। इसलिए आप उन्हें नहीं देख सकते। हवा एक गैस है।",,,,
pair_035,q_train_sqa_720,grade6,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,"किसी पदार्थ का तापमान उसमें उपस्थित कणों की औसत गतिज ऊर्जा पर निर्भर करता है। कणों की औसत गतिज ऊर्जा जितनी अधिक होगी, पदार्थ का तापमान उतना ही अधिक होगा। किसी कण की गतिज ऊर्जा उसके द्रव्यमान और चाल द्वारा निर्धारित होती है। एक शुद्ध पदार्थ के लिए, यदि पदार्थ में प्रत्येक कण का द्रव्यमान अधिक हो और कणों की औसत चाल अधिक हो, तो उनकी औसत गतिज ऊर्जा भी अधिक होगी।",...,,,,
pair_036,q_train_sqa_327,grade2,Select the mixture.,"शुद्ध पदार्थ केवल एक ही प्रकार के पदार्थ से बना होता है।
मिश्रण दो या अधिक प्रकार के पदार्थों को आपस में मिलाकर बना होता है।",...,,,,
pair_037,q_train_sqa_990,grade10,"What is the source of the allusion in the sentence below?
Jaylen spoke at the city council meeting, claiming the new recycling regulations were draconian.",...,"अलंकार वे शब्द या वाक्यांश हैं जो भाषा का प्रयोग गैर-शाब्दिक या असामान्य तरीके से करते हैं। वे लेखन को अधिक अभिव्यक्तिपूर्ण बना सकते हैं。

परोक्ष संदर्भ किसी प्रसिद्ध विषय या व्यक्ति का एक संक्षिप्त उल्लेख होता है, जो अक्सर इतिहास या साहित्य से लिया जाता है。

“मुझे जल्दी घर जाना चाहिए, इससे पहले कि मैं कद्दू बन जाऊं!” लीला ने टिप्पणी की।",,,,
pair_038,q_train_sqa_1066,grade3,"What do these two changes have in common?
baking an apple pie
water evaporating from a puddle",...,"रासायनिक परिवर्तन और भौतिक परिवर्तन पदार्थ बदलने के दो तरीके हैं।
रासायनिक परिवर्तन में, पदार्थ का प्रकार बदल जाता है।
कागज के एक टुकड़े को जलाना एक रासायनिक परिवर्तन है। कागज राख और धुएं में बदल जाता है।
भौतिक परिवर्तन में, पदार्थ का प्रकार वही रहता है।
कागज के एक टुकड़े को काटना एक भौतिक परिवर्तन है। कटे हुए टुकड़े अभी भी कागज से बने होते हैं।
बर्फ का पिघलना भी एक भौतिक परिवर्तन है। जब बर्फ पिघलती है, तो यह ठोस से द्रव में बदल जाती है। लेकिन बर्फ और तरल पानी दोनों ही समान प्रकार के पदार्थ से बने होते हैं: पानी! इस प्रकार के परिवर्तन को अवस्था परिवर्तन कहा जाता है।",,,,
pair_039,q_train_sqa_7,grade8,What is the probability that a goat produced by this cross will be homozygous dominant for the myotonia congenita gene?,...,"संतान के जीनोटाइप: समयुग्मजी या विषमयुग्मजी?
किसी जीव में कोई जीन समयुग्मजी है या विषमयुग्मजी, यह कैसे निर्धारित करें? उस जीन के लिए जीव के जीनोटाइप में मौजूद एलील को देखें।
किसी जीन के लिए दो समान एलील वाले जीव उस जीन के लिए समयुग्मजी होता है।
यदि दोनों एलील प्रभावी हैं, तो जीव उस जीन के लिए समयुग्मजी प्रभावी होता है।
यदि दोनों एलील अप्रभावी हैं, तो जीव उस जीन के लिए समयुग्मजी अप्रभावी होता है।
किसी जीन के लिए दो भिन्न एलील वाले जीव उस जीन के लिए विषमयुग्मजी होता है।
पनेट वर्ग में, प्रत्येक बॉक्स एक अलग परिणाम या फल को दर्शाता है। चारों परिणामों के होने की संभावना समान होती है। प्रत्येक बॉक्स यह दर्शाता है कि माता-पिता के एलील संतान के जीनोटाइप बनाने के लिए किस एक तरीके से मिल सकते हैं। 
चूंकि पनेट वर्ग में चार बॉक्स होते हैं, इसलिए चार संभावित परिणाम होते हैं।
एक घटना एक या अधिक परिणामों का समूह होती है। किसी घटना की प्रायिकता यह मापती है कि उस घटना के होने की कितनी संभावना है। यह प्रायिकता 0 और 1 के बीच की एक संख्या होती है, और इसे भिन्न के रूप में लिखा जा सकता है:
किसी घटना की प्रा",,,,
pair_040,q_train_sqa_930,grade8,Identify the question that Erin's experiment can best answer.,"प्रयोगों में चर (variables) होते हैं, अर्थात ऐसे भाग जो परिवर्तनशील होते हैं। आप किसी एक चर का दूसरे चर पर क्या प्रभाव पड़ता है, यह जानने के लिए एक प्रयोग की रचना कर सकते हैं। उदाहरण के लिए, मान लीजिए कि आप यह जानना चाहते हैं कि उर्वरक (fertilizer) टमाटर के पौधे पर लगने वाले टमाटरों की संख्या को प्रभावित करता है या नहीं। इस प्रश्न का उत्तर देने के लिए, आप टमाटर के पौधों के दो समान समूह बनाते हैं। इसके बाद, आप एक समूह के पौधों की मिट्टी में उर्वरक डालते हैं, जबकि दूसरे समूह में नहीं डालते। कुछ समय बाद, आप प्रत्येक पौधे पर लगे टमाटरों की संख्या गिनकर उर्वरक के प्रभाव को मापते हैं。

इस प्रयोग में, मिट्टी में डाले गए उर्वरक की मात्रा और टमाटरों की संख्या—दोनों ही चर थे。

मिट्टी में डाले गए उर्वरक की मात्रा एक स्वतंत्र चर (independent variable) थी, क्योंकि यह वह चर था जिसके प्रभाव का आप अध्ययन कर रहे थे। चर का यह प्रकार 'स्वतंत्र' इसलिए कहा जाता है क्योंकि इसका मान प्रयोग शुरू होने के बाद होने वाली किसी भी घटना पर निर्भर नहीं करता। इसके विपरीत, आपने कुछ पौधों को उर्वरक देने और अन्य को न देन",...,,,,
pair_041,q_train_sqa_985,grade7,"In this experiment, which were part of an experimental group?","प्रयोगों में चर (variables) होते हैं, अर्थात ऐसे भाग जो परिवर्तित होते हैं। आप किसी प्रयोग की रचना इस उद्देश्य से कर सकते हैं कि यह पता लगाया जाए कि क्या विभिन्न समूहों के बीच किसी चर में परिवर्तन करने से कोई विशिष्ट परिणाम प्राप्त होता है।
उदाहरण के लिए, मान लीजिए कि आप यह जानना चाहते हैं कि क्या मिट्टी में उर्वरक मिलाने से मटर के पौधों की ऊँचाई पर प्रभाव पड़ता है। आप निम्नलिखित प्रयोग द्वारा इस प्रश्न की जाँच कर सकते हैं:
आप मटर के पौधों के एक समूह को उर्वरक युक्त मिट्टी में उगाते हैं और पौधों की ऊँचाई का मापन करते हैं। यह समूह यह दर्शाता है कि जब मिट्टी में उर्वरक मिलाया जाता है तो क्या होता है। चूंकि उर्वरक वह चर है जिसके प्रभाव की आप जाँच कर रहे हैं, इसलिए यह समूह एक प्रायोगिक समूह (experimental group) है।
आप मटर के पौधों के दूसरे समूह को बिना उर्वरक वाली मिट्टी में उगाते हैं और पौधों की ऊँचाई का मापन करते हैं। चूंकि यह समूह यह दर्शाता है कि जब मिट्टी में उर्वरक नहीं मिलाया जाता है तो क्या होता है, इसलिए यह एक नियंत्रण समूह (control group) है।
प्रायोगिक समूह के परिणामों की नियंत्र","प्रयोगों में चर (variables) होते हैं, अर्थात ऐसे भाग जो परिवर्तित होते हैं। आप किसी प्रयोग की रचना इस उद्देश्य से कर सकते हैं कि यह पता लगाया जाए कि क्या विभिन्न समूहों के बीच किसी चर में परिवर्तन करने से कोई विशिष्ट परिणाम प्राप्त होता है।
उदाहरण के लिए, मान लीजिए कि आप यह जानना चाहते हैं कि क्या मिट्टी में उर्वरक मिलाने से मटर के पौधों की ऊँचाई पर प्रभाव पड़ता है। आप निम्नलिखित प्रयोग द्वारा इस प्रश्न की जाँच कर सकते हैं:
आप मटर के पौधों के एक समूह को उर्वरक युक्त मिट्टी में उगाते हैं और पौधों की ऊँचाई का मापन करते हैं। यह समूह यह दर्शाता है कि जब मिट्टी में उर्वरक मिलाया जाता है तो क्या होता है। चूंकि उर्वरक वह चर है जिसके प्रभाव की आप जाँच कर रहे हैं, इसलिए यह समूह एक प्रायोगिक समूह (experimental group) है।
आप मटर के पौधों के दूसरे समूह को बिना उर्वरक वाली मिट्टी में उगाते हैं और पौधों की ऊँचाई का मापन करते हैं। चूंकि यह समूह यह दर्शाता है कि जब मिट्टी में उर्वरक नहीं मिलाया जाता है तो क्या होता है, इसलिए यह एक नियंत्रण समूह (control group) है।
प्रायोगिक समूह के परिणामों की नियंत्र",,,,
pair_042,q_train_sqa_190,grade5,"Is the following trait inherited or acquired?
Most humans can sense many different smells.","मनुष्यों सहित सभी जीवों में आनुवंशिक और अर्जित दोनों प्रकार के लक्षण होते हैं। आनुवंशिक और अर्जित लक्षण अलग-अलग तरीकों से प्राप्त किए जाते हैं。

आनुवंशिक लक्षण पीढ़ी-दर-पीढ़ी परिवारों में स्थानांतरित होते हैं। बच्चे ये लक्षण अपने माता-पिता से प्राप्त करते हैं। आनुवंशिक लक्षणों को सीखने की आवश्यकता नहीं होती。

अर्जित लक्षण किसी व्यक्ति के जीवनकाल के दौरान प्राप्त होते हैं। कुछ अर्जित लक्षण, जैसे साइकिल चलाना, सीखने द्वारा प्राप्त होते हैं। अन्य अर्जित लक्षण, जैसे निशान, पर्यावरण के कारण उत्पन्न होते हैं।","मनुष्यों सहित सभी जीवों में आनुवंशिक और अर्जित दोनों प्रकार के लक्षण होते हैं। आनुवंशिक और अर्जित लक्षण अलग-अलग तरीकों से प्राप्त किए जाते हैं。

आनुवंशिक लक्षण पीढ़ी-दर-पीढ़ी परिवारों में स्थानांतरित होते हैं। बच्चे ये लक्षण अपने माता-पिता से प्राप्त करते हैं। आनुवंशिक लक्षणों को सीखने की आवश्यकता नहीं होती。

अर्जित लक्षण किसी व्यक्ति के जीवनकाल के दौरान प्राप्त होते हैं। कुछ अर्जित लक्षण, जैसे साइकिल चलाना, सीखने द्वारा प्राप्त होते हैं। अन्य अर्जित लक्षण, जैसे निशान, पर्यावरण के कारण उत्पन्न होते हैं।",,,,
pair_043,q_train_sqa_850,grade7,Which solution has a higher concentration of blue particles?,...,"आपके चारों ओर मौजूद प्रत्येक पदार्थ परमाणुओं से बना होता है। परमाणु एक-दूसरे से जुड़कर अणु बना सकते हैं। अणु में परमाणुओं के बीच के जुड़ाव को रासायनिक बंध कहते हैं। विभिन्न अणु विभिन्न रासायनिक तत्वों या परमाणुओं के प्रकारों के जुड़े होने से बने होते हैं।

वैज्ञानिक अणुओं का प्रतिनिधित्व करने के लिए गेंद-और-छड़ी मॉडल और रासायनिक सूत्र दोनों का उपयोग करते हैं।

नीचे एक अणु का गेंद-और-छड़ी मॉडल दिखाया गया है।

गेंदे परमाणुओं का प्रतिनिधित्व करती हैं। छड़ियाँ परमाणुओं के बीच के रासायनिक बंधों का प्रतिनिधित्व करती हैं। विभिन्न रंगों की गेंदे विभिन्न तत्वों के परमाणुओं का प्रतिनिधित्व करती हैं। प्रत्येक रंग द्वारा दर्शाए गए तत्व को लीजेंड में दिखाया गया है।

प्रत्येक तत्व की अपनी एक संक्षिप्त रूप होती है, जिसे उसका परमाणु चिह्न कहा जाता है। प्रत्येक रासायनिक तत्व को उसके अपने चिह्न द्वारा दर्शाया जाता है। कुछ तत्वों के लिए, वह चिह्न एक बड़ा अक्षर होता है। अन्य तत्वों के लिए, यह एक बड़े अक्षर के बाद एक छोटे अक्षर से बना होता है। उदाहरण के लिए, बोरॉन तत्व का चिह्न B है और क्लोरीन तत्व का चिह्",,,,
pair_044,q_train_sqa_1182,grade3,Which of these states is farthest west?,...,...,,,,
pair_045,q_train_sqa_398,grade7,Which of the following could Ken's test show?,...,...,,,,
pair_046,q_train_sqa_1160,grade7,Select the organism in the same genus as the axolotl.,"वैज्ञानिक जीवों की पहचान करने के लिए वैज्ञानिक नामों का उपयोग करते हैं। वैज्ञानिक नाम दो शब्दों से बने होते हैं। किसी जीव के वैज्ञानिक नाम में पहला शब्द उस जीव के वंश को दर्शाता है। वंश उन जीवों का समूह होता है जो कई लक्षण साझा करते हैं। एक वंश एक या अधिक प्रजातियों से बना होता है। प्रजाति अत्यंत समान जीवों का समूह होती है। किसी जीव के वैज्ञानिक नाम में दूसरा शब्द उसके वंश के भीतर उसकी प्रजाति को बताता है। मिलकर, किसी जीव के वैज्ञानिक नाम के दोनों भाग उसकी प्रजाति की पहचान करते हैं। उदाहरण के लिए, Ursus maritimus और Ursus americanus भालुओं की दो प्रजातियाँ हैं। ये दोनों समान वंश, Ursus, का हिस्सा हैं। लेकिन वे उसी वंश के भीतर अलग-अलग प्रजातियाँ हैं। Ursus maritimus का प्रजाति नाम maritimus है। Ursus americanus का प्रजाति नाम americanus है। दोनों भालुओं में छोटे गोल कान और तेज पंजे होते हैं। लेकिन Ursus maritimus में सफेद फर होता है और Ursus americanus में काला फर होता है।",...,,,,
pair_047,q_train_sqa_185,grade2,Which property do these two objects have in common?,"प्रत्येक वस्तु एक या अधिक सामग्रियों से बनी होती है। सामग्री पदार्थ का एक प्रकार है। लकड़ी, कांच, धातु और प्लास्टिक सामान्य सामग्रियाँ हैं। किसी सामग्री की विभिन्न विशेषताएँ होती हैं। ये विशेषताएँ यह बताती हैं कि वह सामग्री कैसी दिखती है, छूने में कैसी लगती है, उसका स्वाद कैसा होता है या उसकी गंध कैसी होती है।",...,,,,
pair_048,q_train_sqa_256,grade9,"What is the source of the allusion in the sentence below?
Bobby spoke at the city council meeting, claiming the new recycling regulations were draconian.","अलंकार वे शब्द या वाक्यांश हैं जो भाषा का प्रयोग गैर-शाब्दिक या असामान्य तरीके से करते हैं। वे लेखन को अधिक अभिव्यक्तिपूर्ण बना सकते हैं。

परोक्ष संदर्भ किसी प्रसिद्ध विषय या व्यक्ति का एक संक्षिप्त उल्लेख होता है, जो अक्सर इतिहास या साहित्य से लिया जाता है。

“मुझे जल्दी घर जाना चाहिए, इससे पहले कि मैं कद्दू बन जाऊं!” लीला ने टिप्पणी की।",...,,,,
pair_049,q_train_sqa_935,grade7,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,...,"किसी पदार्थ का तापमान उसमें उपस्थित कणों की औसत गतिज ऊर्जा पर निर्भर करता है। कणों की औसत गतिज ऊर्जा जितनी अधिक होगी, पदार्थ का तापमान उतना ही अधिक होगा। किसी कण की गतिज ऊर्जा उसके द्रव्यमान और चाल द्वारा निर्धारित होती है। एक शुद्ध पदार्थ के लिए, यदि पदार्थ में प्रत्येक कण का द्रव्यमान अधिक हो और कणों की औसत चाल अधिक हो, तो उनकी औसत गतिज ऊर्जा भी अधिक होगी।",,,,
pair_050,q_train_sqa_394,grade4,Which correctly shows the title of a poem?,"किसी पुस्तक, फिल्म, नाटक, टेलीविजन शो, पत्रिका या समाचार पत्र का शीर्षक इटैलिक (तिरछा) में होना चाहिए। यदि आप इसे हाथ से लिखते हैं, तो इसके बजाय उसमें रेखांकन (अंडरलाइन) किया जा सकता है।
A Midsummer Night's Dream
किसी कविता, गीत, लेख या लघु कहानी का शीर्षक उद्धरण चिह्नों ("" "") में होना चाहिए।
""You Are My Sunshine""","किसी पुस्तक, फिल्म, नाटक, टेलीविजन शो, पत्रिका या समाचार पत्र का शीर्षक इटैलिक (तिरछा) में होना चाहिए। यदि आप इसे हाथ से लिखते हैं, तो इसके बजाय उसमें रेखांकन (अंडरलाइन) किया जा सकता है।
A Midsummer Night's Dream
किसी कविता, गीत, लेख या लघु कहानी का शीर्षक उद्धरण चिह्नों ("" "") में होना चाहिए।
""You Are My Sunshine""",,,,
pair_051,q_train_sqa_1190,grade7,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"चुंबक बिना छुए अन्य चुंबकों को खींच या धकेल सकते हैं। जब चुंबक आपस में आकर्षित होते हैं, तो वे एक-दूसरे की ओर खिंचते हैं। जब चुंबक आपस में प्रतिकर्षित होते हैं, तो वे एक-दूसरे से दूर धकेले जाते हैं। इन खिंचाव और धक्कों को चुंबकीय बल कहा जाता है।
चुंबकीय बल चुंबकों के ध्रुवों, अर्थात सिरों पर सबसे अधिक प्रबल होते हैं। प्रत्येक चुंबक के दो ध्रुव होते हैं: उत्तर ध्रुव (N) और दक्षिण ध्रुव (S)।
यहाँ कुछ चुंबकों के उदाहरण दिए गए हैं। इनके ध्रुव विभिन्न रंगों में दर्शाए गए हैं और उनका लेबल लगाया गया है।
किसी चुंबक द्वारा अन्य चुंबकों को आकर्षित करने या प्रतिकर्षित करने की क्षमता उसके ध्रुवों की स्थिति पर निर्भर करती है।
यदि विपरीत ध्रुव एक-दूसरे के सबसे निकट हों, तो चुंबक आपस में आकर्षित होते हैं। नीचे दिए गए युग्म के चुंबक आकर्षित हो रहे हैं।
यदि समान (या जैसे) ध्रुव एक-दूसरे के सबसे निकट हों, तो चुंबक आपस में प्रतिकर्षित होते हैं। नीचे दिए गए दोनों युग्मों के चुंबक प्रतिकर्षित हो रहे हैं।",...,,,,
pair_052,q_train_sqa_107,grade5,Which property do these four objects have in common?,"प्रत्येक वस्तु एक या अधिक सामग्रियों से बनी होती है। सामग्री पदार्थ का एक प्रकार है। लकड़ी, कांच, धातु और प्लास्टिक सामान्य सामग्रियाँ हैं। किसी सामग्री की विभिन्न विशेषताएँ होती हैं। ये विशेषताएँ यह बताती हैं कि वह सामग्री कैसी दिखती है, छूने में कैसी लगती है, उसका स्वाद कैसा होता है या उसकी गंध कैसी होती है।",...,,,,
pair_053,q_train_sqa_448,grade3,Which is harder?,...,...,,,,
pair_054,q_train_sqa_112,grade2,Is a travel bag a good or a service?,"आप जो कुछ भी खरीद सकते हैं, वह या तो एक वस्तु होती है या सेवा।
वस्तु वह चीज़ है जिसे आप छू सकते हैं या अपने हाथों में पकड़ सकते हैं। उदाहरण के लिए, हथौड़ा एक वस्तु है।
सेवा वह काम है जिसके लिए आप किसी और को भुगतान करते हैं। उदाहरण के लिए, रेस्तरां में खाना बनाना एक सेवा है।",...,,,,
pair_055,q_train_sqa_420,grade5,"Is the following trait inherited or acquired?
Porter has a scar on his left ankle.",...,"मनुष्यों सहित सभी जीवों में आनुवंशिक और अर्जित दोनों प्रकार के लक्षण होते हैं। आनुवंशिक और अर्जित लक्षण अलग-अलग तरीकों से प्राप्त किए जाते हैं。

आनुवंशिक लक्षण पीढ़ी-दर-पीढ़ी परिवारों में स्थानांतरित होते हैं। बच्चे ये लक्षण अपने माता-पिता से प्राप्त करते हैं। आनुवंशिक लक्षणों को सीखने की आवश्यकता नहीं होती。

अर्जित लक्षण किसी व्यक्ति के जीवनकाल के दौरान प्राप्त होते हैं। कुछ अर्जित लक्षण, जैसे साइकिल चलाना, सीखने द्वारा प्राप्त होते हैं। अन्य अर्जित लक्षण, जैसे निशान, पर्यावरण के कारण उत्पन्न होते हैं।",,,,
pair_056,q_train_sqa_1039,grade7,"Using only these supplies, which question can Madelyn investigate with an experiment?",...,"प्रयोगों को विशिष्ट प्रश्नों के उत्तर देने के लिए डिज़ाइन किया जा सकता है। आप किसी विशेष प्रयोग द्वारा किन प्रश्नों के उत्तर दिए जा सकते हैं, यह कैसे पहचानें? ऐसा करने के लिए, आपको यह समझना होगा कि प्रयोग के दौरान क्या परीक्षण किया गया और क्या मापा गया।

दफोडिल पौधों के दो समूहों वाले एक प्रयोग की कल्पना करें। पौधों का एक समूह बलुई मिट्टी में उगाया गया, जबकि दूसरा समूह चिकनी मिट्टी में उगाया गया। फिर, प्रत्येक पौधे की ऊँचाई मापी गई।

सबसे पहले, उस प्रयोग के भाग की पहचान करें जिसका परीक्षण किया गया था। किसी प्रयोग में जिस भाग का परीक्षण किया जाता है, आमतौर पर वह प्रायोगिक व्यवस्था के उस भाग से संबंधित होता है जो अलग या बदला हुआ होता है। उपरोक्त वर्णित प्रयोग में, पौधों के प्रत्येक समूह को अलग-अलग प्रकार की मिट्टी में उगाया गया था। इसलिए, अलग-अलग प्रकार की मिट्टियों में पौधे उगाने के प्रभाव का परीक्षण किया गया था।

फिर, उस प्रयोग के भाग की पहचान करें जिसका मापन किया गया था। जिस भाग का मापन किया जाता है, उसमें माप और गणनाएँ शामिल हो सकती हैं। उपरोक्त वर्णित प्रयोग में, प्रत्येक समूह के पौ",,,,
pair_057,q_train_sqa_403,grade5,Suppose Tommy decides to plant the gardenias. Which result would be a cost?,...,"किसी कार्य को करने से पहले, लागतों और लाभों की सूची तैयार करना अक्सर सहायक होता है।
लागतें वे वस्तुएँ या संसाधन हैं जिन्हें आप किसी कार्य को करने का निर्णय लेने पर त्याग देते हैं या व्यय करते हैं। लागतों में उन चीजों को त्यागना शामिल है, जिनकी आप इच्छा रखते हैं या जिनकी आपको आवश्यकता होती है।
लाभ वे वस्तुएँ या परिणाम हैं जिन्हें आप किसी कार्य को करने का निर्णय लेने पर प्राप्त करते हैं या बचाते हैं। लाभों में उन चीजों को प्राप्त करना शामिल है, जिनकी आप इच्छा रखते हैं या जिनकी आपको आवश्यकता होती है।",,,,
pair_058,q_train_sqa_735,grade6,"Based on this information, what is Nica's phenotype for the body hair trait?","लक्षण वह विशेषता है जो किसी जीव की दिखावट या व्यवहार को दर्शाती है।
अनुकूलन वह लक्षण है जो किसी जीव को अपने पर्यावरण में जीवित रहने में सहायता प्रदान करता है।",...,,,,
pair_059,q_train_sqa_313,grade8,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"चुंबक एक-दूसरे को स्पर्श किए बिना भी एक-दूसरे को खींच या धकेल सकते हैं। जब चुंबक आकर्षित करते हैं, तो वे एक-दूसरे की ओर खिंचते हैं। जब चुंबक प्रतिकर्षित करते हैं, तो वे एक-दूसरे से दूर धकेले जाते हैं।

चुंबकों के बीच लगने वाले इन खिंचाव और धक्कों को चुंबकीय बल कहते हैं। दो चुंबकों के बीच चुंबकीय बल जितना अधिक प्रबल होगा, चुंबक उतनी ही अधिक शक्ति से एक-दूसरे को आकर्षित या प्रतिकर्षित करेंगे।

आप चुंबकों के बीच की दूरी बदलकर दो चुंबकों के बीच चुंबकीय बल की प्रबलता को परिवर्तित कर सकते हैं। जब चुंबक एक-दूसरे के अधिक निकट होते हैं, तो चुंबकीय बल अधिक प्रबल होता है।",...,,,,
pair_060,q_train_sqa_987,grade9,"What is the source of the allusion in the sentence below?
Fans debated whether their team would rise from the ashes.",...,"अलंकार वे शब्द या वाक्यांश हैं जो भाषा का प्रयोग गैर-शाब्दिक या असामान्य तरीके से करते हैं। वे लेखन को अधिक अभिव्यक्तिपूर्ण बना सकते हैं。

परोक्ष संदर्भ किसी प्रसिद्ध विषय या व्यक्ति का एक संक्षिप्त उल्लेख होता है, जो अक्सर इतिहास या साहित्य से लिया जाता है。

“मुझे जल्दी घर जाना चाहिए, इससे पहले कि मैं कद्दू बन जाऊं!” लीला ने टिप्पणी की।",,,,
pair_061,q_train_sqa_49,grade3,Which sentence states a fact?,"तथ्य वह है जिसे शोध या अवलोकन के माध्यम से सत्य सिद्ध किया जा सकता है।
जॉर्ज वाशिंगटन 1789 में संयुक्त राज्य अमेरिका के राष्ट्रपति बने।
यह कथन एक तथ्य है। इसकी पुष्टि इस बात के शोध द्वारा की जा सकती है कि जॉर्ज वाशिंगटन ने किस वर्ष राष्ट्रपति पद का शपथ ग्रहण किया था।
राय वह है जो कोई व्यक्ति मानता, सोचता या महसूस करता है। किसी राय को साक्ष्यों द्वारा समर्थित किया जा सकता है, लेकिन इसे सत्य सिद्ध नहीं किया जा सकता।
जॉर्ज वाशिंगटन थॉमस जेफर्सन से बेहतर राष्ट्रपति थे।
यह कथन एक राय है। लोगों के बीच यह विचार भिन्न हो सकते हैं कि किसी को ""बेहतर"" राष्ट्रपति बनाता है, इसलिए इस कथन को सिद्ध नहीं किया जा सकता।","तथ्य वह है जिसे शोध या अवलोकन के माध्यम से सत्य सिद्ध किया जा सकता है।
जॉर्ज वाशिंगटन 1789 में संयुक्त राज्य अमेरिका के राष्ट्रपति बने।
यह कथन एक तथ्य है। इसकी पुष्टि इस बात के शोध द्वारा की जा सकती है कि जॉर्ज वाशिंगटन ने किस वर्ष राष्ट्रपति पद का शपथ ग्रहण किया था।
राय वह है जो कोई व्यक्ति मानता, सोचता या महसूस करता है। किसी राय को साक्ष्यों द्वारा समर्थित किया जा सकता है, लेकिन इसे सत्य सिद्ध नहीं किया जा सकता।
जॉर्ज वाशिंगटन थॉमस जेफर्सन से बेहतर राष्ट्रपति थे।
यह कथन एक राय है। लोगों के बीच यह विचार भिन्न हो सकते हैं कि किसी को ""बेहतर"" राष्ट्रपति बनाता है, इसलिए इस कथन को सिद्ध नहीं किया जा सकता।",,,,
